,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
6803,1800,8,129482-A,3室1卫,22/22层,丰台区,张郭庄,西山甲一号,地铁：距14号线西段张郭庄站500米
6804,2380,10,131461-B,3室1卫,17/20层,丰台区,石榴庄,康泽园,地铁：距10号线石榴庄站600米
6805,2940,15,131461-C,3室1卫,17/20层,丰台区,石榴庄,康泽园,地铁：距10号线石榴庄站600米
6806,2250,10,132975-C,3室1卫,3/15层,石景山区,苹果园,西山奥园,"地铁：距1号线,6号线苹果园站1150米"
6807,2330,13,134258-B,4室1卫,12/17层,通州区,次渠南,北京经开汀塘,地铁：距亦庄线次渠南站550米
6808,4940,41,134557-A,1室1卫,1/6层,东城区,天坛东门,长青园小区,地铁：距5号线天坛东门站800米
6809,3620,14,130288-C,4室1卫,5/6层,朝阳区,望京,望京西园二区,"地铁：距14号线东段,15号线望京站650米"
6810,1920,13,140488-B,3室1卫,4/10层,朝阳区,肖村,成和园,地铁：距亦庄线肖村站2150米
6811,2630,16,141025-B,4室1卫,11/12层,丰台区,丽泽商务区,万润风景,"地铁：距16号线,14号线东段丽泽商务区站1100米"
6812,3400,12,141551-A,2室1卫,2/6层,昌平区,龙泽,龙泽苑西区,地铁：距13号线龙泽站200米
6813,2980,11,143254-B,2室1卫,2/4层,朝阳区,十里堡,十里堡东里,地铁：距6号线十里堡站700米
6814,2350,8,141937-B,2室1卫,3/6层,石景山区,八宝山,永乐东区,地铁：距1号线八宝山站700米
6816,2850,12,143157-B,4室1卫,13/15层,朝阳区,立水桥,立城苑,"地铁：距13号线,5号线立水桥站300米"
6817,3180,19,143157-D,4室1卫,13/15层,朝阳区,立水桥,立城苑,"地铁：距13号线,5号线立水桥站300米"
6818,3120,10,12931-A,3室1卫,1/6层,朝阳区,安华桥,安贞西里三区,"地铁：距8号线,12号线安华桥站200米"
6819,2560,14,143301-C,3室1卫,6/11层,朝阳区,孙河,康营小区14区,地铁：距15号线孙河站950米
6820,3310,11,143764-A,3室1卫,16/24层,朝阳区,双井,广渠门外大街6号院,"地铁：距7号线,10号线双井站300米"
6821,2930,20,143682-A,2室1卫,1/6层,朝阳区,管庄,管庄西里,地铁：距八通线管庄站1050米
6822,2090,8,143682-B,2室1卫,1/6层,朝阳区,管庄,管庄西里,地铁：距八通线管庄站1050米
6823,2630,12,145451-C,3室1卫,4/5层,昌平区,霍营,枫丹丽舍,"地铁：距8号线,13号线霍营站800米"
6825,3570,20,147378-B,2室1卫,10/30层,朝阳区,光熙门,西坝河西里,地铁：距13号线光熙门站550米
6826,3700,40,13449-A,1室1卫,3/12层,通州区,梨园,云景豪庭,地铁：距八通线梨园站600米
6828,1910,10,152407-A,2室1卫,19/22层,通州区,同济南路,宏仁家园,地铁：距亦庄线同济南路站3100米
6829,1970,13,151619-C,3室1卫,5/6层,石景山区,金安桥,赵山,"地铁：距1号线,6号线苹果园站1200米"
6830,2890,18,13737-B,3室1卫,2/6层,昌平区,育知路,云趣园一区,地铁：距8号线育知路站300米
6831,3310,9,155001-B,3室1卫,2/26层,朝阳区,东湖渠,望京花园西区,地铁：距14号线东段东湖渠站500米
6833,3150,11,14507-E,5室1卫,4/5层,海淀区,马连洼,百旺家苑,地铁：距16号线马连洼站600米
6835,2580,14,14820-A,4室2卫,21/28层,丰台区,科怡路,宝隆温泉公寓,地铁：距9号线科怡路站250米
6836,1910,9,14938-C,4室1卫,4/8层,朝阳区,双桥,东柳西里,地铁：距八通线双桥站900米
6837,3480,17,15596-A,3室1卫,3/6层,朝阳区,金台路,红庙北里,"地铁：距6号线,14号线东段金台路站450米"
